timestamp;trialindex;trial;trialstarted;trialended;duration;trial_type;button_pressed;pressed_icon;sample_button;vocal_condition;movement_condition;weight_condition
17852.5257928;1;calibration1;17860.7207346;17870.7617629;10.041028300001926;relaxed_breathing;65534.0;A;65534.0;nan;nan;nan
17874.4674212;2;calibration2;17874.4986842;17885.199921800002;10.70123760000206;respiration_min_max;65534.0;A;65534.0;nan;nan;nan
17885.2311402;3;practice1;17898.0701483;17905.1113665;7.041218200000003;practice;65534.0;A;65534.0;vocalize;no_movement;no_weight
17912.8460105;4;practice2;17923.3473905;17930.3900781;7.042687600001955;practice;65534.0;A;65534.0;vocalize;flexion_stop;no_weight
17934.833781600002;5;practice3;17944.9050428;17951.9621105;7.057067699999607;practice;65534.0;A;65534.0;vocalize;extension_stop;no_weight
17954.6226743;6;practice4;17962.234294;17969.276042100002;7.0417481000004045;practice;65534.0;A;65534.0;vocalize;internal_rotation_stop;no_weight
17972.0898337;7;practice5;17980.6393946;17987.6816497;7.042255100001057;practice;65534.0;A;65534.0;vocalize;external_rotation_stop;no_weight
18015.0202319;8;practice6;18048.7091002;18055.7513379;7.042237699999532;practice;65534.0;A;65534.0;expire;flexion_stop;weight
18058.8727387;9;1;18065.7606475;18072.803839700002;7.043192200002522;main;65534.0;A;65534.0;expire;extension_stop;weight
18080.0449497;10;2;18087.7797304;18094.821949;7.0422185999996145;main;65534.0;A;65534.0;expire;no_movement;weight
18097.0510147;11;3;18103.8323529;18110.8745401;7.042187200000626;main;65534.0;A;65534.0;expire;flexion_stop;weight
18113.4720785;12;4;18120.345647000002;18127.4037764;7.058129399996687;main;65534.0;A;65534.0;expire;internal_rotation_stop;weight
18129.6333109;13;5;18135.4454313;18142.486662;7.041230700000597;main;65534.0;A;65534.0;expire;external_rotation_stop;weight
18145.0392231;14;6;18151.6207016;18158.663423;7.042721400001028;main;65534.0;A;65534.0;expire;no_movement;weight
18161.0005482;15;7;18167.24273;18174.2844411;7.041711099998793;main;65534.0;A;65534.0;expire;external_rotation_stop;weight
18177.6066884;16;8;18182.880140600002;18189.922343500002;7.04220290000012;main;65534.0;A;65534.0;expire;internal_rotation_stop;weight
18193.2286837;17;9;18198.6256635;18205.6679282;7.042264700001397;main;65534.0;A;65534.0;expire;extension_stop;weight
18208.7584814;18;10;18214.4005007;18221.4431893;7.042688599998655;main;65534.0;A;65534.0;expire;flexion_stop;weight
18224.4257005;19;11;18230.4536068;18237.5111485;7.057541700000002;main;65534.0;A;65534.0;vocalize;extension_stop;weight
18250.411174;19;11;18259.5603571;18266.6031454;7.042788300001121;main;65534.0;A;65534.0;vocalize;extension_stop;weight
18272.845240900002;19;11;18283.931859700002;18290.9740839;7.0422241999986;main;65534.0;A;65534.0;vocalize;extension_stop;weight
18310.1936073;19;11;18317.8201309;18324.8623643;7.042233399999532;main;65534.0;A;65534.0;vocalize;extension_stop;weight
18350.463475700002;19;11;18356.860373800002;18363.9016067;7.041232899999159;main;65534.0;A;65534.0;vocalize;extension_stop;weight
18396.1610302;19;11;18405.7086398;18412.7512995;7.042659700000513;main;65534.0;A;65534.0;vocalize;extension_stop;weight
18432.5397185;19;11;18440.2128542;18447.2545746;7.041720400000486;main;65534.0;A;65534.0;vocalize;extension_stop;weight
18452.2979791;20;12;18460.2319502;18467.2741973;7.042247100001987;main;65534.0;A;65534.0;vocalize;external_rotation_stop;weight
18510.1129194;20;12;18519.1381406;18526.1650013;7.0268606999998156;main;65534.0;A;65534.0;vocalize;external_rotation_stop;weight
18530.5322946;21;13;18543.3399884;18550.3818145;7.0418261000013445;main;65534.0;A;65534.0;vocalize;internal_rotation_stop;weight
