timestamp;trialindex;trial;trialstarted;trialended;duration;trial_type;button_pressed;pressed_icon;sample_button;vocal_condition;movement_condition;weight_condition
13408.575297000001;1;calibration1;13410.7279307;13420.7367643;10.00883359999898;relaxed_breathing;65534.0;A;65534.0;nan;nan;nan
13427.6867063;2;calibration2;13427.7179445;13437.342868200001;9.62492370000109;respiration_min_max;65534.0;A;65534.0;nan;nan;nan
13445.4316583;3;practice1;13459.9768452;13467.0185702;7.041724999999133;practice;65534.0;A;65534.0;vocalize;no_movement;no_weight
13487.03816;4;practice2;13510.0570552;13517.1137288;7.056673600000067;practice;65534.0;A;65534.0;vocalize;flexion_stop;no_weight
13538.5483331;5;practice3;13554.448151300001;13561.4893785;7.041227199999412;practice;65534.0;A;65534.0;vocalize;extension_stop;no_weight
13573.467772400001;6;practice4;13589.7197429;13596.793236900001;7.07349400000021;practice;65534.0;A;65534.0;vocalize;internal_rotation_stop;no_weight
13618.180278;7;practice5;13627.2059957;13634.2636093;7.057613599999968;practice;65534.0;A;65534.0;vocalize;external_rotation_stop;no_weight
13662.24897;8;practice6;13674.027970500001;13681.0855555;7.057584999998653;practice;65534.0;A;65534.0;expire;flexion_stop;weight
13699.7828086;9;1;13710.6844397;13717.7266318;7.042192099999738;main;65534.0;A;65534.0;expire;extension_stop;weight
13719.971536000001;10;2;13730.8116563;13737.8682317;7.056575399999929;main;65534.0;A;65534.0;expire;no_movement;weight
13761.379163;11;3;13771.7882396;13778.8299549;7.041715299999851;main;65534.0;A;65534.0;expire;flexion_stop;weight
13783.0281305;12;4;13791.3004182;13798.357525000001;7.057106800000838;main;65534.0;A;65534.0;expire;internal_rotation_stop;weight
13808.782949800001;13;5;13816.8246204;13823.8822609;7.057640499999252;main;65534.0;A;65534.0;expire;external_rotation_stop;weight
13832.001254;14;6;13837.920014700001;13844.9622408;7.042226099998516;main;65534.0;A;65534.0;expire;no_movement;weight
13853.2499191;15;7;13862.1377894;13869.180009900001;7.042220500001349;main;65534.0;A;65534.0;expire;external_rotation_stop;weight
13880.5731589;16;8;13888.5081711;13895.549852;7.041680899999847;main;65534.0;A;65534.0;expire;internal_rotation_stop;weight
13902.9462495;17;9;13910.1571269;13917.1988017;7.041674800000692;main;65534.0;A;65534.0;expire;extension_stop;weight
13923.2723325;18;10;13930.8993278;13937.9564508;7.057123000000502;main;65534.0;A;65534.0;expire;flexion_stop;weight
13943.031518400001;19;11;13952.8404346;13959.8836667;7.0432320999989315;main;65534.0;A;65534.0;vocalize;extension_stop;weight
13966.2790768;20;12;13973.3371665;13980.3794131;7.042246599999999;main;65534.0;A;65534.0;vocalize;external_rotation_stop;weight
13984.4540253;21;13;13990.4501807;13997.5087808;7.058600100001058;main;65534.0;A;65534.0;vocalize;internal_rotation_stop;weight
14011.284699;22;14;14019.7876371;14026.8308651;7.043228000000454;main;65534.0;A;65534.0;vocalize;no_movement;weight
14033.6885514;23;15;14041.1152014;14048.1717977;7.05659630000082;main;65534.0;A;65534.0;vocalize;flexion_stop;weight
14063.68719;24;16;14070.3752839;14077.417994000001;7.042710100000477;main;65534.0;A;65534.0;vocalize;extension_stop;weight
14081.2456334;25;17;14089.9801862;14097.021442700001;7.0412565000006;main;65534.0;A;65534.0;vocalize;external_rotation_stop;weight
14102.9114575;26;18;14110.1223081;14117.1496448;7.0273366999990685;main;65534.0;A;65534.0;vocalize;no_movement;weight
14122.700365;27;19;14128.9732921;14136.015003;7.041710900000908;main;65534.0;A;65534.0;vocalize;flexion_stop;weight
